,name,rating,reviews,ctype,hq,old,employees
0,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
1,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
2,Cognizant,3.9,41.7k,IT Services & Consulting,Forbes Global 2000,30 years old,1 Lakh+ Employees
3,Wipro,3.8,39.1k,IT Services & Consulting,Public,79 years old,1 Lakh+ Employees
4,Capgemini,3.9,34k,IT Services & Consulting,Public,57 years old,1 Lakh+ Employees
5,HDFC Bank,3.9,33.9k,Banking,Public,30 years old,1 Lakh+ Employees
6,ICICI Bank,4.0,33.5k,Banking,Public,30 years old,1 Lakh+ Employees
7,Infosys,3.8,31.8k,IT Services & Consulting,Public,43 years old,1 Lakh+ Employees
8,HCLTech,3.7,28.5k,IT Services & Consulting,Public,33 years old,1 Lakh+ Employees
9,Tech Mahindra,3.7,27.6k,IT Services & Consulting,Public,38 years old,1 Lakh+ Employees
10,Genpact,3.9,26.2k,IT Services & Consulting,Public,27 years old,1 Lakh+ Employees
11,Axis Bank,3.9,22k,Banking,Public,31 years old,50k-1 Lakh Employees
12,Teleperformance,3.6,21.9k,BPO,Forbes Global 2000,46 years old,50k-1 Lakh Employees
13,Concentrix Corporation,3.9,21.8k,BPO,Public,41 years old,50k-1 Lakh Employees
14,Jio,4.0,20.6k,Telecom,Public,17 years old,50k-1 Lakh Employees
15,Amazon,4.1,20.4k,Internet,Public,30 years old,1 Lakh+ Employees
16,IBM,4.1,19.7k,IT Services & Consulting,Public,113 years old,1 Lakh+ Employees
17,Reliance Retail,3.9,18.7k,Retail,18 years old,Amravati +988 more,1 Lakh+ Employees
18,HDB Financial Services,4.0,18.1k,NBFC,17 years old,Amravati +940 more,1 Lakh+ Employees
19,Larsen & Toubro Limited,4.0,16.6k,Engineering & Construction,Public,86 years old,10k-50k Employees
20,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
21,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
